#,Pattern,Result
1,"(0, 0, 0, 0, 0)",Equal
2,"(0, 0, 0, 0, 1)",Rise
3,"(0, 0, 0, 0, 2)",Rise
4,"(0, 0, 0, 0, 3)",Rise
5,"(0, 0, 0, 0, 4)",Rise
6,"(0, 0, 0, 0, 5)",Rise
7,"(0, 0, 0, 0, 6)",Rise
8,"(0, 0, 0, 0, 7)",Rise
9,"(0, 0, 0, 0, 8)",Rise
10,"(0, 0, 0, 0, 9)",Rise
11,"(0, 0, 0, 1, 0)",Fall
12,"(0, 0, 0, 1, 1)",Rise
13,"(0, 0, 0, 1, 2)",Rise
14,"(0, 0, 0, 1, 3)",Rise
15,"(0, 0, 0, 1, 4)",Rise
16,"(0, 0, 0, 1, 5)",Rise
17,"(0, 0, 0, 1, 6)",Rise
18,"(0, 0, 0, 1, 7)",Rise
19,"(0, 0, 0, 1, 8)",Rise
20,"(0, 0, 0, 1, 9)",Rise
21,"(0, 0, 0, 2, 0)",Fall
22,"(0, 0, 0, 2, 1)",Rise
23,"(0, 0, 0, 2, 2)",Rise
24,"(0, 0, 0, 2, 3)",Rise
25,"(0, 0, 0, 2, 4)",Rise
26,"(0, 0, 0, 2, 5)",Rise
27,"(0, 0, 0, 2, 6)",Rise
28,"(0, 0, 0, 2, 7)",Rise
29,"(0, 0, 0, 2, 8)",Rise
30,"(0, 0, 0, 2, 9)",Rise
31,"(0, 0, 0, 3, 0)",Fall
32,"(0, 0, 0, 3, 1)",Rise
33,"(0, 0, 0, 3, 2)",Rise
34,"(0, 0, 0, 3, 3)",Rise
35,"(0, 0, 0, 3, 4)",Rise
36,"(0, 0, 0, 3, 5)",Rise
37,"(0, 0, 0, 3, 6)",Rise
38,"(0, 0, 0, 3, 7)",Rise
39,"(0, 0, 0, 3, 8)",Rise
40,"(0, 0, 0, 3, 9)",Rise
41,"(0, 0, 0, 4, 0)",Fall
42,"(0, 0, 0, 4, 1)",Equal
43,"(0, 0, 0, 4, 2)",Rise
44,"(0, 0, 0, 4, 3)",Rise
45,"(0, 0, 0, 4, 4)",Rise
46,"(0, 0, 0, 4, 5)",Rise
47,"(0, 0, 0, 4, 6)",Rise
48,"(0, 0, 0, 4, 7)",Rise
49,"(0, 0, 0, 4, 8)",Rise
50,"(0, 0, 0, 4, 9)",Rise
51,"(0, 0, 0, 5, 0)",Fall
52,"(0, 0, 0, 5, 1)",Fall
53,"(0, 0, 0, 5, 2)",Rise
54,"(0, 0, 0, 5, 3)",Rise
55,"(0, 0, 0, 5, 4)",Rise
56,"(0, 0, 0, 5, 5)",Rise
57,"(0, 0, 0, 5, 6)",Rise
58,"(0, 0, 0, 5, 7)",Rise
59,"(0, 0, 0, 5, 8)",Rise
60,"(0, 0, 0, 5, 9)",Rise
61,"(0, 0, 0, 6, 0)",Fall
62,"(0, 0, 0, 6, 1)",Fall
63,"(0, 0, 0, 6, 2)",Rise
64,"(0, 0, 0, 6, 3)",Rise
65,"(0, 0, 0, 6, 4)",Rise
66,"(0, 0, 0, 6, 5)",Rise
67,"(0, 0, 0, 6, 6)",Rise
68,"(0, 0, 0, 6, 7)",Rise
69,"(0, 0, 0, 6, 8)",Rise
70,"(0, 0, 0, 6, 9)",Rise
71,"(0, 0, 0, 7, 0)",Fall
72,"(0, 0, 0, 7, 1)",Fall
73,"(0, 0, 0, 7, 2)",Rise
74,"(0, 0, 0, 7, 3)",Rise
75,"(0, 0, 0, 7, 4)",Rise
76,"(0, 0, 0, 7, 5)",Rise
77,"(0, 0, 0, 7, 6)",Rise
78,"(0, 0, 0, 7, 7)",Rise
79,"(0, 0, 0, 7, 8)",Rise
80,"(0, 0, 0, 7, 9)",Rise
81,"(0, 0, 0, 8, 0)",Fall
82,"(0, 0, 0, 8, 1)",Fall
83,"(0, 0, 0, 8, 2)",Equal
84,"(0, 0, 0, 8, 3)",Rise
85,"(0, 0, 0, 8, 4)",Rise
86,"(0, 0, 0, 8, 5)",Rise
87,"(0, 0, 0, 8, 6)",Rise
88,"(0, 0, 0, 8, 7)",Rise
89,"(0, 0, 0, 8, 8)",Rise
90,"(0, 0, 0, 8, 9)",Rise
91,"(0, 0, 0, 9, 0)",Fall
92,"(0, 0, 0, 9, 1)",Fall
93,"(0, 0, 0, 9, 2)",Fall
94,"(0, 0, 0, 9, 3)",Rise
95,"(0, 0, 0, 9, 4)",Rise
96,"(0, 0, 0, 9, 5)",Rise
97,"(0, 0, 0, 9, 6)",Rise
98,"(0, 0, 0, 9, 7)",Rise
99,"(0, 0, 0, 9, 8)",Rise
100,"(0, 0, 0, 9, 9)",Rise
101,"(0, 0, 1, 0, 0)",Fall
102,"(0, 0, 1, 0, 1)",Rise
103,"(0, 0, 1, 0, 2)",Rise
104,"(0, 0, 1, 0, 3)",Rise
105,"(0, 0, 1, 0, 4)",Rise
106,"(0, 0, 1, 0, 5)",Rise
107,"(0, 0, 1, 0, 6)",Rise
108,"(0, 0, 1, 0, 7)",Rise
109,"(0, 0, 1, 0, 8)",Rise
110,"(0, 0, 1, 0, 9)",Rise
111,"(0, 0, 1, 1, 0)",Fall
112,"(0, 0, 1, 1, 1)",Rise
113,"(0, 0, 1, 1, 2)",Rise
114,"(0, 0, 1, 1, 3)",Rise
115,"(0, 0, 1, 1, 4)",Rise
116,"(0, 0, 1, 1, 5)",Rise
117,"(0, 0, 1, 1, 6)",Rise
118,"(0, 0, 1, 1, 7)",Rise
119,"(0, 0, 1, 1, 8)",Rise
120,"(0, 0, 1, 1, 9)",Rise
121,"(0, 0, 1, 2, 0)",Fall
122,"(0, 0, 1, 2, 1)",Rise
123,"(0, 0, 1, 2, 2)",Rise
124,"(0, 0, 1, 2, 3)",Rise
125,"(0, 0, 1, 2, 4)",Rise
126,"(0, 0, 1, 2, 5)",Rise
127,"(0, 0, 1, 2, 6)",Rise
128,"(0, 0, 1, 2, 7)",Rise
129,"(0, 0, 1, 2, 8)",Rise
130,"(0, 0, 1, 2, 9)",Rise
131,"(0, 0, 1, 3, 0)",Fall
132,"(0, 0, 1, 3, 1)",Equal
133,"(0, 0, 1, 3, 2)",Rise
134,"(0, 0, 1, 3, 3)",Rise
135,"(0, 0, 1, 3, 4)",Rise
136,"(0, 0, 1, 3, 5)",Rise
137,"(0, 0, 1, 3, 6)",Rise
138,"(0, 0, 1, 3, 7)",Rise
139,"(0, 0, 1, 3, 8)",Rise
140,"(0, 0, 1, 3, 9)",Rise
141,"(0, 0, 1, 4, 0)",Fall
142,"(0, 0, 1, 4, 1)",Fall
143,"(0, 0, 1, 4, 2)",Rise
144,"(0, 0, 1, 4, 3)",Rise
145,"(0, 0, 1, 4, 4)",Rise
146,"(0, 0, 1, 4, 5)",Rise
147,"(0, 0, 1, 4, 6)",Rise
148,"(0, 0, 1, 4, 7)",Rise
149,"(0, 0, 1, 4, 8)",Rise
150,"(0, 0, 1, 4, 9)",Rise
151,"(0, 0, 1, 5, 0)",Fall
152,"(0, 0, 1, 5, 1)",Fall
153,"(0, 0, 1, 5, 2)",Rise
154,"(0, 0, 1, 5, 3)",Rise
155,"(0, 0, 1, 5, 4)",Rise
156,"(0, 0, 1, 5, 5)",Rise
157,"(0, 0, 1, 5, 6)",Rise
158,"(0, 0, 1, 5, 7)",Rise
159,"(0, 0, 1, 5, 8)",Rise
